conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/a4ab8347-782f-4ca1-940d-44ffea256ebf,8142.7.1,operator spuitgietmachine optische schijven,0.0
Occupation,http://data.europa.eu/esco/occupation/502fe307-ae65-46cb-a485-e559b9a35266,8142.7,operator spuitgietmachine,0.0238095238095238
Occupation,http://data.europa.eu/esco/occupation/4a30b421-2fda-42d6-b7e1-1c31753f061d,8142.8,productiemedewerker isolatiebuizen,0.0
Occupation,http://data.europa.eu/esco/occupation/84d45916-eef7-4c58-a73c-3639c9965014,8142.9,machineoperator kunststof meubelen,0.0
Occupation,http://data.europa.eu/esco/occupation/4a5ceaae-0f05-4091-bdbf-59f250ce6374,8142.10,operator warmtebehandeling kunststof,0.0
Occupation,http://data.europa.eu/esco/occupation/8ba8acb8-c0f2-4679-ae15-3a4f6e876c6f,8142.11,operator rolvormmachine plastic,0.0
Occupation,http://data.europa.eu/esco/occupation/c22724a3-079c-4897-bd92-d99e068b6ffc,8142.12,operator pultrusiemachine,0.0344827586206896
Occupation,http://data.europa.eu/esco/occupation/ae3f1edd-d191-4a8d-8dfc-099dcdc6f1e8,8142.13,platenperser,0.0
Occupation,http://data.europa.eu/esco/occupation/6e18b923-7c5f-42d7-8ff0-de8d8ba30dbf,8142.14,operator vacuümvormmachine,0.032258064516129
ISCO level 4,http://data.europa.eu/esco/isco/C8142,8142,Bedieningspersoneel van machines voor de vervaardiging van producten van kunststof,0.01564643489003888
Occupation,http://data.europa.eu/esco/occupation/c706886d-5bc7-4430-9a72-051fc483235f,8143.1,operator absorberende verbanden,0.0
Occupation,http://data.europa.eu/esco/occupation/eb5df714-15ce-4e31-853c-678d2aba568b,8143.2,operator golfkartonmachine,0.0263157894736842
Occupation,http://data.europa.eu/esco/occupation/65b88636-2ebb-4049-b509-2f6da5d6ea1c,8143.3,enveloppenmaker,0.0285714285714285
Occupation,http://data.europa.eu/esco/occupation/73270b73-8c71-445f-a8d3-4647b1ae38d0,8143.4,productiemedewerker papieren draagtassen,0.0
Occupation,http://data.europa.eu/esco/occupation/fc9a86ec-7ad5-4ccb-a08f-1e369197e14a,8143.5,assemblagemedewerker karton,0.0606060606060606
Occupation,http://data.europa.eu/esco/occupation/27f92adf-1384-4c01-8ad0-1680ead6abf9,8143.6,papiersnijder,0.0285714285714285
Occupation,http://data.europa.eu/esco/occupation/0ab77768-9031-4ccc-9ab8-1f73cbb36bc7,8143.7,productiemedewerker hygiënische papierwaren,0.025
Occupation,http://data.europa.eu/esco/occupation/71a98a24-e02b-4ba6-b4df-6556d7ae98cc,8143.8,machineoperator papierwaren,0.0256410256410256
ISCO level 4,http://data.europa.eu/esco/isco/C8143,8143,Bedieningspersoneel van machines voor de vervaardiging van producten van papier,0.024338216607953427
ISCO level 3,http://data.europa.eu/esco/isco/C815,815,"Bedieningspersoneel van machines voor de vervaardiging van producten van textiel, bont en leer",0.024896945776548246
